,0
0,['Een coronabesmetting zonder symptomen komt veel vaker voor dan afhankelijk werd gedacht. Dat blijkt uit een reeks van nieuwe gepubliceerde onderzoeken.']
1,"['Het kabinet maakt de komende weken geen documenten openbaar over de coronacrisis, hoewel journalisten daar wel om vragen. Wob-verzoeken van ...']"
2,"['Tijdlijn: Waar de maatregelen tegen het coronavirus elkaar vorige maand in rap tempo opvolgden, komen inmiddels de eerste versoepelingen in beeld.']"
3,"['Een 91-jarige Belgische vrouw, die vorige week positief testte op het coronavirus en daarom verplicht op haar kamer moest blijven, is zondag weggelopen uit ...']"
4,"['Als er over de verspreiding van het coronavirus wordt gesproken, gaat het vaak over hoesten of niezen, maar kan iemand het virus ook verspreiden door alleen ...']"
5,"['ENSCHEDE - Het Twentse nieuws omtrent het coronavirus volgt zich in zo\'n hoog tempo op, dat het bijna niet bij te benen is. Daarom maken we elke dag een ...']"
6,['De kans dat er snel een app komt die de GGD kan helpen bij contact- en brononderzoek naar het coronavirus wordt steeds kleiner. Het initiatief voor...']
7,"['Maandag had hij gelanceerd moeten worden, de Duitse app die hielp om te zien wie er met besmette personen in contact was geweest.']"
8,['In Apeldoorn wordt een proefkermis gebouwd om te kijken of kermissen ondanks de huidige corona-maatregelen toch weer open kunnen gaan.']
9,['Facebook wil graag af van zijn naam als privacyschender. Goede daden moeten helpen. De internetgigant gaat komende weken gebruikers enquête-formuli...']
10,['De Autoriteit Persoonsgegevens (AP) zegt dat de zeven mogelijke corona-apps onvoldoende zijn uitgewerkt om te kunnen beoordelen of de bescherming van ...']
11,['De nieuwsberichten over het coronavirus volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Met vandaag ...']
12,['Er is sprake van meerdere sterfgevallen als gevolg van corona in verpleeghuis Zonnehuis Oostergast in Zuidhorn.']
13,['Gaan de scholen weer (deels) open? Mogen we met wat grotere groepen bij elkaar komen? Of wordt een biertje in de kroeg toch weer mogelijk? Aanstaande ...']
14,"['De manier waarop we werken zal blijvend veranderen, verwachten veel Nederlanders. Uit onderzoek van het Kennisinstituut voor Mobiliteitsbeleid (KiM) blijkt ...']"
15,['Hoe weet je wanneer je last hebt van pollen en wanneer moet je vrezen voor corona? Het aankomende graspollenseizoen betekent voor ruim twee miljoen ...']
16,"['Er is heel veel nieuws over het coronavirus en de economische gevolgen daarvan. Omdat het haast niet bij te houden is, zetten we het hier even overzichtelijk ...']"
17,"['Het is nog altijd een raadsel hoe Lea Kant uit Nieuwendijk, een van de eerste patiënten van Nederland bij wie het coronavirus werd vastgesteld, besmet is ...']"
18,['Nu de twijfels over corona-apps toenemen roept PvdA-leider Lodewijk Asscher het kabinet op om met een \'realistisch alternatief plan\' te komen. Hij pleit voor ...']
19,['In dit liveblog houdt Binnenlands Bestuur naast de reguliere berichtgeving een chronologisch overzicht bij van het laatste nieuws over het …']
20,['Sinds de opening van een speciale corona-teststraat in Lelystad hebben al bijna 600 zorgmedewerkers daar laten controleren of ze besmet zijn met het virus.']
21,['Mannen hebben vaker last van onderliggende gezondheidsklachten.']
22,"['Sinds 12 maart zijn er 360.000 reguliere verwijzingen door huisartsen naar ziekenhuizen minder dan normaal, meldt de Nederlandse Zorgautoriteit (NZa).']"
23,"['De supermarkt Sindron in Zenderen, die wordt gerund door cliënten van zorginstelling Aveleijn, sluit definitief de deuren. De winkel blijkt niet rendabel. ""Het was ...']"
24,"['Kinderen onder de tien jaar lijken minder makkelijk een infectie met het coronavirus op te lopen dan oudere kinderen en volwassenen, wijst een studie onder de ...']"
25,"['De vijftien Vindicaters die vrijdagnacht door de politie uit het verenigingsgebouw werden gezet, omdat ze de coronaregels niet naleefden, moeten van de rector ...']"
26,['Het UMC Utrecht onderzoekt samen met het Radboudumc of een middel tegen tuberculose ook ingezet kan worden tegen het coronavirus.']
27,"['Het dodental in het hechte Gelderse dorp Heerde loopt in rap tempo op, er zijn inmiddels 47 mensen aan het coronavirus overleden.']"
28,['Gaan de scholen weer (deels) open? Mogen we met wat grotere groepen bij elkaar komen? Of wordt een biertje in de kroeg toch weer mogelijk? Aanstaande ...']
29,['Een belangrijk vraag bij de discussie over de heropening van de scholen is welke rol de kinderen spelen bij de verspreiding van het virus. Uit het buitenland ...']
30,"['Volgens de RIVM-statistiek is er één ziekenhuisopname geweest in de afgelopen 24 uur, namelijk in de gemeente Tholen. Het Zeeuwse totaal komt daarmee op ...']"
31,['Mensen met een beperking worden hard getroffen door de coronacrisis. In veel gevallen is de zorg en ondersteuning stopgezet of verminderd. Dat …']
32,['De Taalbank verzamelt alle nieuwe (en bestaande) woorden omtrent het virus in het Coronawoordenboek. Lees hier de meest opvallende woorden.']
33,['Philips-bestuursvoorzitter Frans van Houten ziet in de manier waarop ziekenhuizen en zorgverleners nu de uitbraak van het coronavirus bestrijden \'een ...']
34,['UpdateHOOGERHEIDE - Een corona-uitbraak in zorgcentrum Heideduin in Hoogerheide heeft sinds vrijdag het leven gekost aan drie bewoners. Zondag zijn ...']
35,"['In Polen komen steeds meer automaten met mondkapjes en andere beschermingsmiddelen tegen het coronavirus, zoals wegwerphandschoenen en ...']"
36,"['Hij zag er geen kwaad in, op 6 maart, repeteren met zijn musicalgroep van 35 mensen. ""Met de kennis van toen"", benadrukt Harrie Poulsen, muzikaal leider van ...']"
37,['Vijf quick wins om je kantoor corona-proof te maken.']
38,['Er worden steeds minder ouderen met corona doorverwezen naar de intensive care (ic). Vorige maand was een op de drie coronapatiënten op de ic 70 jaar of ...']
39,"['Grote projecten bij de krijgsmacht kunnen volgens minister Ank Bijleveld van Defensie \'niet zo makkelijk\' worden versneld, zoals regeringspartijen VVD en CDA ...']"
40,"['Werknemers op Schiphol, de horeca of winkelpersoneel: door de coronacrisis zitten veel mensen thuis, maar in bepaalde sectoren zijn juist te weinig mensen ...']"
41,"['Terwijl we uitbundig de lente en de bevrijding zouden moeten vieren, blijven we met z\'n allen zo veel mogelijk thuis. Ondertussen gaan we op zoek naar ...']"
42,['In de Tweede Kamer vallen harde woorden over de appathon van dit weekend waarbij zeven partijen hun corona-app mochten presenteren. Uithuilen en ...']
43,['Al weken volgen leerlingen vanuit huis onderwijs. Toch maken nu al steeds meer scholen een uitzondering voor bepaalde leerlingen om gewoon weer op ...']
44,"['Als er iemand is die weet wat corona met Nederland doet, is het waarnemend directeur-generaal Bert Kroese van het Centraal Bureau voor de Statistiek.']"
45,"['Een warmtecamera screent sinds kort patiënten en bezoekers op koorts bij het St Jansdal ziekenhuis in Harderwijk. Het St Jansdal is hiermee, voor zover zij ...']"
46,['De Europese Commissie heeft de coronacrisis niet goed aangepakt. Dat vinden de meeste Nederlandse politieke partijen in het Europees Parlement.']
47,"['Terwijl we uitbundig de lente en de bevrijding zouden moeten vieren, blijven we met z\'n allen zo veel mogelijk thuis. Ondertussen gaan we op zoek naar ...']"
48,"['Terwijl we uitbundig de lente en de bevrijding zouden moeten vieren, blijven we met z\'n allen zo veel mogelijk thuis. Ondertussen gaan we op zoek naar ...']"
49,['Filmstudio Warner Bros. heeft zijn filmkalender flink opgeschud nu het coronavirus voor lege filmsets heeft gezorgd. Verschillende grote films krijgen een latere ...']
50,['HENGELO/ NIJMEGEN - Door het coronavirus zijn in de afgelopen 24 zeker 7 inwoners van deze regio overleden. Daarnaast zijn er 16 extra mensen ...']
51,['Brabanders vinden het in vergelijking met de rest van het land steeds lastiger worden om de corona-maatregelen na te leven. Dat blijkt uit een internetpeiling ...']
52,['Zonder extra overheidssteun valt het doek voor dertig tot veertig procent van de horecazaken. Dat denkt Ruud Bakker van de Eindhovense afdeling van ...']
53,"['Wereldwijd zijn ruim 165.000 mensen overleden aan de gevolgen van het uit China overgewaaide coronavirus, al ligt het werkelijke aantal hoger. Het dodental ...']"
54,['Het duurt nog wel even voor er een corona-opsporingsapp is die klaar is voor gebruik. Onder de zeven app-bouwers die afgelopen weekend hun plannen ...']
55,['Steeds meer partijen willen dat er een onderzoek komt naar een mogelijk verband tussen luchtkwaliteit en het coronavirus. De regio Noordoost-Brabant is hard ...']
56,['Liveblog: Nederland blijft tot het einde van deze maand in een \'intelligente lockdown\' om verspreiding van het coronavirus tegen te gaan.']
57,"['Corona heeft nog geen grote effecten op de woningmarkt. Dat zegt het Kadaster, het openbaar register van al het vastgoed. Het aantal woningzoekenden dat ...']"
58,['De consumptie van wijn zal fors terug gaan vallen in de EU vanwege het het besluit in veel landen om bars en restaurants te sluiten als gevolg van de ...']
59,['Het coronavirus grijpt in Japan steeds verder om zich heen. Inmiddels is bij meer dan 10.000 mensen vastgesteld dat ze besmet zijn. Experts waarschuwen dat ...']
60,['47 inwoners uit de regio IJmond en de gemeente Castricum zijn de afgelopen weken bezweken aan de gevolgen van het coronavirus. Dat blijkt uit cijfers van h.']
61,"['Dankzij een bedrijf uit Oss is het sinds vorige week mogelijk om je te laten testen op antistoffen van het coronavirus. Al tientallen mensen deden de test, maar ...']"
62,['MIDDELBURG - In het Admiraal De Ruyterziekenhuis (Adrz) in Goes zijn dit weekend 3 corona patiënten overleden. Dat heeft het Adrz vanmiddag laten weten.']
63,"['In de podcast Europa Draait Door gaat het over de Brexit, die niet uitgesteld lijkt te worden.']"
64,['KPMG heeft onderzocht hoe het staat met apps die mogelijk ingezet gaan worden in de coronacrisis. Geen van de apps heeft de beveiliging op orde.']
65,['Wat was er vandaag in het nieuws over het coronavirus? FashionUnited verzamelt dagelijks het belangrijkste COVID-19 (gerelateerde) nieuws in een overzicht.']
66,['302 wetenschappers uit 27 landen - onder wie 16 Belgen - waarschuwen voor zogenaamde tracingapps die een ongeziene surveillance mogelijk maken.']
67,['De gemeenteraad van Heerde opende maandagavond de digitale raadsvergadering met een minuut stilte. Daarmee stond de raad stil bij de slachtoffers van de ...']
68,['Psycholoog Thijs Launspach is stressexpert en auteur van het boek Fokking Druk. Hij verwondert zich over het moderne werken en geeft elke week tips voor ...']
69,['Welke rol spelen kinderen bij de verspreiding van het coronavirus? Dat is een van de kernvragen bij de afwegingen over het eventueel versoepelen van de ...']
70,['In deze serie laten we nabestaanden aan het woord over hun geliefden die zijn overleden door corona. Deze keer een eerbetoon aan Kishen Bholasing (35) uit ...']
71,['Ook wordt andere topmanagers bij Carrefour gevraagd om 10% van hun verdiensten in te leveren om zo de impact van de coronacrisis te beperken. Verder zal ...']
72,['Wat vinden Nederlanders dat de gemeente zou kunnen doen om inwoners te helpen tijdens de coronacrisis?']
73,['Net als veel andere luchtvaartbedrijven wereldwijd is de Amerikaanse luchtvaartmaatschappij United Airlines hard geraakt door de impact van het coronavirus.']
74,['De bemanning van de door het coronavirus getroffen onderzeeboot Zr.Ms. Dolfijn is uit isolatie. Eind maart werd bij acht bemanningsleden aan boord het coro...']
75,['De corona-app is een onvoldragen idee dat te vroeg werd gelanceerd. Zoiets moet niet te vaak gebeuren.']
76,['Op 18 maart is in Maastricht de Centrale Huisartsenpoli Corona aan de Clavecymbelstraat geopend voor patiënten met een zorgvraag die klachten of ...']
77,"['Dit is ons liveblog over het coronavirus. Hier melden we alle ontwikkelingen rond het virus, in Gelderland en wat verder belangrijk is om te weten voor jou.']"
78,['Het Scheperziekenhuis in Emmen gaat de coronazorg op de intensive care-afdeling vanaf vandaag omlaag schroeven om zo weer meer ruimte maken voor ...']
79,"['Urenlang zit Willem Hendriks uit Coevorden elke dag aan zijn tekentafel. Hij portretteert, op basis van foto\'s, overleden coronapatiënten voor nabestaanden.']"
80,"['We zitten al ruim een maand in intelligente lockdown. Diverse bedrijven, zoals horeca, sportscholen, dierentuinen en pretparken hebben de deuren gesloten.']"
81,['[HAARLEMMERMEER] Er zijn sinds de uitbraak van de coronacrisis zeventien mensen overleden in Haarlemmermeer aan corona (Covid-19). Dat zijn er twee ...']
82,['De politie waarschuwt opnieuw voor neppe sms-berichten waarin mensen gevraagd wordt geld over te maken in ruil voor een zogenaamd \'corona-zorgpakket\' ...']
83,"['De voorwaarden van de overheid voor de corona-apps waren ""niet duidelijk genoeg"" en daardoor zijn de zeven voorstellen voor de apps ""onvoldoende ...']"
84,['Het lijkt er niet op dat op korte termijn een van de afgelopen weekend gepresenteerde corona-apps ook daadwerkelijk wordt uitgerold. De landsadvocaat van ...']
85,['Op enig moment worden de rapporten van CTA en MCA en kabinetsreactie op de rapporten weer van de plank gehaald en wordt er weer een serieuze ...']
86,['Koningsdag is dit jaar door de coronacrisis anders dan iedereen gewend is.']
87,"['HILVERSUM - Buurthuizen, de bibliotheek en andere openbare plekken: door het coronavirus zijn ze allemaal dicht. Het blijkt een probleem voor mensen die ...']"
88,['Een Britse ex-militair zit vanwege de coronacrisis in isolatie op een onbewoond eiland. Chris Lewis (39) en zijn hond Jet hebben volgens de BBC hun intrek ...']
89,['Een medisch team dat mensen met coronaverschijnselen in de gaten houdt en indien nodig op afstand inspringt: dat is het principe achter de ...']
90,['PROVINCIE UTRECHT - Jongeren leven tijdens de coronacrisis ongezonder dan ouderen. Ze roken meer en bewegen minder dan normaal. Ook maken veel ...']
91,['Twee dagen lang hebben zeven bedrijven hun voorstellen gepresenteerd en aangescherpt om een privacy-veilige corona-app voor de overheid te mogen ...']
92,['Het aantal inwoners van Noord-Holland Noord dat tot dusverre is overleden aan het coronavirus is sinds vrijdag met elf gestegen: van 82 naar 93.']
93,['Het opsporen en testen van mensen die mogelijk besmet zijn geraakt staat centraal in de strijd tegen het virus. Interne Belgische verdeeldheid en problemen bij ...']
94,"['De gemeente Midden-Groningen, stichting De Heemtuin, jongerenwerk, toezichthouders (BOA\'s) en de politie willen met een gezamenlijke en strikte ...']"
95,['UITSLAGLiefst 70 procent van de Nederlanders hoopt dat de intelligente lock down in de strijd tegen het coronavirus na 28 april versoepeld wordt.']
96,"['Wie weet er eigenlijk wat precies het doel is van die app en hoe dat gaat werken? Als je corona-symptomen hebt, ben je besmettelijk. Sterker nog, hoe zieker je ...']"
