news_title,Lables,new_label,new_label1,new_label2
 Japanese schools re-opened then were closed again due to a second wave of coronavirus.,Misleading,Misleading,Misleading,FALSE
 Claim that an American soldier was intentionally spreading the novel coronavirus in Wuhan during the seventh CISM Military World Games in October 2019 with a video clip of a man purportedly smearing saliva on the handrail on a train.,Misleading,Misleading,Misleading,FALSE
" Spanish scientist (and former minister for agriculture) says that people should go to Ronaldo or Messi for the cure, as they are better paid.",FALSE,FALSE,FALSE,FALSE
 The first infected person in Kazakhstan is in Almaty.,FALSE,FALSE,FALSE,FALSE
 â€œBoil some orange peels wit cayenne pepper in it stand over the pot breathe in the steam so all that mucus can release from yo nasalâ€¦ MUCUS is the problem its where THE VIRUS LIVES!!!â€.,Pants on Fire!,FALSE,FALSE,FALSE
 Precautionary measures suggested by the UNICEF.,FALSE,FALSE,FALSE,FALSE
 Hydroxychloroquine and Azithromycin are a cure for COVID-19.,Unproven,Unproven,Misleading,FALSE
 Helicopters of the Argentine Air Force will spray disinfectant against the coronavirus.,FALSE,FALSE,FALSE,FALSE
"WHO convenes manufacturers, regulatory authorities meet on COVID-19 vaccines",TRUE,TRUE,TRUE,TRUE
" The coronavirus outbreak is the start of a depopulation program, based on links established by the Bill and Melinda Gates Foundation.",FALSE,FALSE,FALSE,FALSE
" First death from coronavirus in Barranquilla, Columbia.",FALSE,FALSE,FALSE,FALSE
Updated WHO Information Note: Ensuring continuity of TB services during the COVID-19 pandemic,TRUE,TRUE,TRUE,TRUE
" As a special task force assembled earlier this month to help in the handling of the COVID-19 outbreak, a photo of a tank on Torontoâ€™s Dundas Square surfaced on social media.",FALSE,FALSE,FALSE,FALSE
 The State of Qatar did not report any COVID-19 infections.,Misleading,Misleading,Misleading,FALSE
 Video of doctors being attacked in the old city of Hyderabad when they went to screen locals for COVID-19.,FALSE,FALSE,FALSE,FALSE
 15 minutes in a sauna will kill the coronavirus.,FALSE,FALSE,FALSE,FALSE
Pakistan: Polio eradication cell centre in Islamabad converted to fight COVID-19,TRUE,TRUE,TRUE,TRUE
" Tom Hanks died, confessed admiration for Trump.",FALSE,FALSE,FALSE,FALSE
 Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19).,FALSE,FALSE,FALSE,FALSE
PAHO Director calls on each country to analyze trends of the pandemic before relaxing social distancing measures,TRUE,TRUE,TRUE,TRUE
Sugars and humectants in cigarettes lead to higher levels of toxins in smoke,TRUE,TRUE,TRUE,TRUE
 Viral picture message suggests Obasanjo said that there is no coronavirus in Nigeria and that the mister of health lied.,FALSE,FALSE,FALSE,FALSE
 Claim that the outbreak of COVID-19 is not real.,FALSE,FALSE,FALSE,FALSE
" Coronavirus has arrived in Sarajevo, Bosnia and Herzegovina.",Misleading,Misleading,Misleading,FALSE
Coronavirus: fewer children and fewer staff members at childcare centres,TRUE,TRUE,TRUE,TRUE
